cust_id,lookalikes
C0001,"[('C0112', 0.9434563530497263), ('C0091', 0.9302605094190636), ('C0048', 0.9245003270420484)]"
C0002,"[('C0134', 0.9799578870122228), ('C0159', 0.9525793444156804), ('C0106', 0.9486832980505138)]"
C0003,"[('C0003', 0.9999999999999999), ('C0158', 0.9999999999999999), ('C0195', 0.9722718241315029)]"
C0004,"[('C0113', 0.9585144756340409), ('C0012', 0.9363821838346236), ('C0047', 0.9354143466934856)]"
C0005,"[('C0007', 1.0000000000000002), ('C0140', 0.9428090415820636), ('C0146', 0.9258200997725515)]"
C0006,"[('C0187', 0.9594032236002469), ('C0147', 0.9525793444156803), ('C0082', 0.9432422182837985)]"
C0007,"[('C0007', 1.0000000000000002), ('C0140', 0.9428090415820636), ('C0146', 0.9258200997725515)]"
C0008,"[('C0059', 0.9742785792574936), ('C0154', 0.9695896898516747), ('C0189', 0.9428090415820631)]"
C0009,"[('C0198', 0.9428090415820636), ('C0149', 0.9036961141150641), ('C0111', 0.8660254037844387)]"
C0010,"[('C0061', 0.9847319278346621), ('C0099', 0.9061030445113443), ('C0034', 0.8764598212022147)]"
C0011,"[('C0126', 0.9922778767136679), ('C0153', 0.9460998335825322), ('C0082', 0.9417419115948376)]"
C0012,"[('C0152', 0.9831353843426085), ('C0104', 0.978945010372561), ('C0052', 0.9630868246861538)]"
C0013,"[('C0107', 0.9869275424396535), ('C0184', 0.9526610232449336), ('C0049', 0.9485040136686709)]"
C0014,"[('C0014', 0.9999999999999998), ('C0089', 0.9486832980505137), ('C0196', 0.801783725737273)]"
C0015,"[('C0131', 0.944911182523068), ('C0160', 0.9036961141150639), ('C0038', 0.9036961141150639)]"
C0016,"[('C0183', 1.0), ('C0049', 0.9686648999069224), ('C0029', 0.9594032236002469)]"
C0017,"[('C0075', 0.9834151021607785), ('C0041', 0.9750168689498874), ('C0057', 0.9684002494125044)]"
C0018,"[('C0035', 0.9594032236002469), ('C0125', 0.9534625892455925), ('C0122', 0.9341987329938276)]"
C0019,"[('C0070', 0.9869275424396535), ('C0023', 0.9511897312113418), ('C0064', 0.9449111825230682)]"
C0020,"[('C0050', 0.8728715609439696), ('C0035', 0.8164965809277261), ('C0026', 0.8164965809277261)]"
